star,date,info,content
평점5,23.06.18.,용량: S23울트라 256GB / 색상: 크림,콘서트때 아주 잘 사용했어여 덕질용으로 최고임니다 애플만 쓰는 사람인데 울트라는 진짜 인정하는 부분입니다 그냥 사십쇼
평점5,23.08.07.,용량: S23울트라 512GB / 색상: 라벤더,자급제로는 첨사보는데 좋네요따로 새로 계약서 쓰고 그러기 귀찮았는데 유심만 갈게면되서 아주 편리합니다
평점5,23.06.16.,용량: S23울트라 512GB / 색상: 그린,"사전구매를 못하여 아쉬웠는데, 5년만에 핸드폰 카메라 성능이 제일 좋은 시그니쳐 핸드폰을 구매하여 사용해보니, 하늘을 나는 듯한 기분이었습니다. 감사합니다."
평점5,23.06.27.,용량: S23울트라 512GB / 색상: 크림,라이브방송으로 저렴하게 구매하고배송도 바로 다음날에 도착했네요!
평점5,23.06.16.,용량: S23울트라 256GB / 색상: 팬텀블랙,몇 년만에 바꾼 폰인데 아주 맘에 듭니다사진 많이 찍고 다녀야겠어요
평점5,23.10.26.,용량: S23울트라 512GB / 색상: 크림,워낙 유명한 제품이라 말이 필요없네요잘 받았습니다^^
평점5,23.06.14.,용량: S23울트라 512GB / 색상: 크림,s23 쓰다가 넘 작아서 울트라로 바꿨는데 크고 좋네요
평점5,23.09.10.,용량: S23울트라 256GB / 색상: 크림,보호필름을 아직 못사서 개봉은 안했지만 양품이 왔을거라 믿습니다.배송 하루만에 잘왔어요.잘 쓰겠습니다.
평점5,23.06.24.,용량: S23울트라 512GB / 색상: 그린,포장해서 선물 드렸는데 좋아하시더라구요^^
평점5,23.06.20.,용량: S23울트라 512GB / 색상: 라벤더,배송 빠르고 저렴하게 잘 구매했습니다.
평점5,23.06.16.,용량: S23울트라 256GB / 색상: 팬텀블랙,확실히 세련되고 큼직하니 이쁘네요
평점5,23.09.01.,용량: S23울트라 256GB / 색상: 팬텀블랙,배송이 빠르고 품질이 좋습니다
평점5,23.06.16.,용량: S23울트라 512GB / 색상: 크림,색상 이쁘고 빠른배송 좋아요~
평점5,23.06.26.,용량: S23울트라 512GB / 색상: 팬텀블랙,크고 화질도 좋고 좋아요~~^^
평점5,23.06.16.,용량: S23울트라 256GB / 색상: 팬텀블랙,별 다른 하자 없습니다.
평점5,23.06.26.,용량: S23울트라 512GB / 색상: 라벤더,새폰은 항상 사랑입니다^^터치도 좋고 큼직큼직하니.. 너무 맘에 드네요
