star,date,info,content
평점5,23.04.29.,정보없음,"엄마 생신선물로 기변해드렸습니다.무슨 핸드폰이냐. 지금것도 잘된다고 거절하셨는데A시리즈만 쓰시다가 어차피 오래 쓰시는거 s23으로 해드렸는데작고 가볍다고 엄청 좋아하시네요!엄마도 소녀이신지라 색은 라벤더로 고르셨는데실제로 보면 은은하니 정말 이쁩니다.부모님 핸드폰 가성비 찾지마시고 좋은걸로 한번 해드리세요엄청 좋아하시니 너무 뿌듯합니다.보지 못하고 구매하는거라 반신반의하고판매처도 네*버에 찾아보고 했는데 후기도 좋고,문의남겼는데 답변도 빨리주셔서 구매 하였는데 정말 잘한 것 같습니다.서울이라 당일배송으로 10시전에 구매하고 밤 8시쯤 바로 배송 받았습니다! 갤럭시캠퍼스에서 사고 매장픽업 하려 했지만근처에 재고 없으면 그것도 어려웠기에 정말 잘 산 것 같아요!가격 또한 운좋게 할인가에 + 제 생일쿠폰 + 카드할인 받아서 91만원대 구매하였고 상품권도 주시면 90만원정도에 산거라아주아주 만족합니다^^*"
평점5,23.06.09.,모델선택: 256GB / 색상선택: 크림,주문하고 바로 다음날 받아서 너무 좋았구요!핸드폰을 5년만에 바꾼거라 사진 화질보고 진짜감탄을ㅎㅎㅎ손에 착 감기는 그립감도 최고고 크림색도 최고고 다 최고에요ㅜㅜ 제돈주고 샀지만 좋은 스마트폰 만들어주셔서 감사합니다ㅋㅋㅋ네이버포인트 혜택도 많고 충전기도 같이 와서 구매했는데 과연 포인트가 다 들어오는지 보겠습니다ㅎㅎ
평점5,23.06.22.,용량: S23 256GB / 색상: 라벤더,엄마폰 바꿔드리려고 구매했습니다.계속 바꿔드리려고 가격비교하다가 라방 있길래 기다렸다 샀어요.라방 혜택받는거랑 좀 더 저렴한곳에서 사는거랑 엄청 비교했었는데 사고나니 왜 그렇게 비교했나 싶네요. 첫날 라방 놓쳐서 결제금액은 좀 더 비싸게 샀지만 나름 혜택이 좋아서 후회안해요. 구매하고 나니 홀가분합니다.삼성인증사이기도 하고 도착보장으로 빨리 받아서 좋았습니다.A시리즈랑 고민했는데 기왕 사는거 그래도 플래그십이 낫겠다 싶어서 기본형이지만 S23으로 샀어요.비싼거 부담스럽다고 계속 저렴한거 있으면 사라고 하셨었지만 언박싱 직접하게 해드렸는데 엄마가 아주 좋아하셨습니다.크림 없어서 라벤더 했는데 은은하니 예쁘네요.엄마는 바로 빨간케이스를 씌우셨지만..ㅋㅋ
평점4,23.06.27.,용량: S23울트라 512GB / 색상: 팬텀블랙,"아이폰에서 갤럭시로 갈아타는 순간!신랑이 이번에  S23으로 바꾸고 싶어해서 울트라로 구매했어요. 그린컬러를 권했지만 블랙이 좋다네요.ㅎ적응하는덴 시간이 걸리겠지만 아주 만족해합니다.할인하는 곳이 여러군데 비교해보다가 하나카드 프로모션이 해당되서 가장 저렴했어요.따져보니 약2만5천? 정도 :  )그런데, 7월에 하나카드 캐시백들어오는거 맞죠?"
평점5,23.04.16.,정보없음,"밤늦게 주문했는데, 다음날 낮에 도착해서 너무 좋았구요.  케이스도 예쁘고, 새로운 각진 디자인도 너무 마음에 듭니다. 늘 그렇지만, 갤럭시 앱이며 전부 옮기는것도 편해서 너무 좋구요.다만 십일절 기다려서 1만원 쿠폰생겨서 쓰고 구입했는데, 지금보니 2만원 쿠폰이 생겼네요....씁..슬합니다 ㅎㅎ액정필릉도 같이 주시면 너무 좋을거 같아요. 쿠x에서 급히 주문해서 붙였습니다. 카메라에도 붙이구요. 아무튼 이번 정품케이스 너무 이쁩니다!"
평점5,23.04.15.,정보없음,"이거 라방 있는 날 갑작스럽게 핸드폰이 고장나고 수리센터에 갔는데 완전히 죽어서 살릴 수 없단 말을 듣고 진짜 낙심했는데요, 마침 특가로 나오고 라방 이벤트에도 참여해서 정말 좋은 가격에 구매할 수 있었어요!! 그리고 다음날 바로 배송받아서 그것도 다행이었습니다.카메라 때문에 울트라가 탐이 나긴 했지만 손이 작아서 그거 샀으면 후회했을 것 같아요. 저한테는 s23도 한 손에 쏙 들어오는 크기가 아니라서 ㅎㅎ 다른 색상이랑 고민 많이 했는데 역시 크림 색상이 제일 마음에 듭니다!아 한 가지 아쉬운 건 정품 케이스라고 플랫케이스 같이 주셨는데 불량품이 와서ㅠㅠ 측면에 있는 볼륨 키 부분은 괜찮은데 전원 버튼은 누르면 케이스가 눌린 채로 다시 안 돌아오더라고요. 그래서 다시 전원 키를 누르려고 하면 누를 수가 없어요! 너무 불편한데 일단 케이스 다른 걸로 살 때까지는 어쩔 수 없으니까 그냥 쓰고 있어요. 근데 정품 이름 달고 나온 건데 퀄리티가 너무 아쉬워요.그것 말고는 배송, 가격 다 너무 좋습니다!"
평점5,23.02.25.,제3자 정보제공 동의: 동의합니다 / 색상: 팬텀블랙 [ZKFKOO],기존폰 6년쓰고 갤럭시s23 사전예약으로 자급제 폰으로 바꿨습니다.  네이버로 휴대폰을 처음사는데 처음에는 반신반의 했는데 물건도 23년 2월 보내주시고 배송 안전하게 보내주셔서 감사하고 또 빠른배송 해주셔서 감사합니다.담에도 폰을 바꿀때 여기서 구매해야지 마음들었습니다.  첫 자급제 폰을 잘 바꿔서 잘 쓸수있어서 감사하고 항상 번창하시고 승리하세요~ ^^
평점5,23.05.03.,정보없음,기존에 Z폴더 3를 사용하다가 분실해서 다시 삼성폰으로 알아보던중에 S23이 좋은가격으로 위메프에서 나와서 이걸로 구매했습니다.  팬텀블랙이라서 색상도 멋지고 아직 사용해보지 않았지만 성능은 삼성 S23이 안드로이드폰중에서는 최고인것 같아요!울트라 모델 사고 싶었지만 가격이 후달달... S23으로도 만족합니다.감사합니다.
평점5,23.03.17.,정보없음,그린 색상인데 카키색에 가깝다는 느낌입니다. 주로 블랙을 사용했었는데 다른 색을 사용해 보고 싶어서 선택했는데 잘한 선택으로 여겨집니다. 너무 밝은 색은 별로 좋아하질 않아서리... 예전 20 울트라는 너무 커서 들고 다니기 불편했는데 휴대 편하고 해외 출장이 좀 있는 편이라 eSim으로 현지 유심을 개통해서 같이 사용할 수 있다는 점도 중요하게 작용하였습니다. 
평점5,23.05.02.,컬러: 라벤더,기존 폰이 S23의 예쁜 색감을 제대로 잡아내질 못하네요 ㅠㅠ 실물로 보면 엄청 예뻐요.계속 보급형만 썼는데 이번에 s23 디자인이 너무 잘 뽑혔길래 갈아탔습니다.크림이랑 라벤더중에서 뭘 살지 계속 고민했었는데 라벤더 고른것에 대해 일말의 후회도 없습니다.. 보라빛과 분홍빛이 은은하게 어울어져서 정말 예뻐요 ㅠㅠ판매자 분도 엄청 친절하셨고 배송 상황도 알림으로 바로바로 보내주셨어요. 게다가 배송도 바로 다음날 도착해서 여러모로 만족스럽습니다!
